id,part_name,purchase_count
299776,Hyundai_Venue_Coolant,1
299776,Hyundai_Venue_Brake Fluid,1
299776,Hyundai_Venue_Semi Synthetic,5.5
299776,Hyundai_Venue_Oil Filter,1
299776,Hyundai_Venue_Air Filter,1
299780,Ford_Figo_Timing Belt,1
299780,Ford_Figo_Tensioner Adjuster,1
299780,"Ford_Figo_Guide, Timing Chain",1
299780,"Ford_Figo_Idler,Timing",1
299780,Ford_Figo_Alternator Belt,1
299780,Ford_Figo_Shock Absorber (Front),2
299780,Ford_Figo_Front Strut Bush Kit,2
299780,Ford_Figo_Front Brake pad,1
299791,Renault_Kwid_Head Lamp - L/H,2
299791,Renault_Kwid_Bumper - Front,1
299791,Renault_Kwid_Front Wheel Arch Cladding Left,1
299791,Renault_Kwid_Fender Liner - L/H Front,1
299806,Tata_Tiago_Bumper - Rear,1
299806,"Tata_Tiago_Molding Assy, Bumper Lower",1
299806,Tata_Tiago_Lock Set,1
299806,Tata_Tiago_Lock,1
299823,Honda_City_Coolant,1
299823,Honda_City_Brake Fluid,1
299823,Honda_City_Oil Filter,1
299823,Honda_City_Air Filter,1
299823,Honda_City_Fully Synthetic,4.5
299890,Hyundai_Elite i20_Shock Absorber (Front) - Left,1
299890,Hyundai_Elite i20_Shock Absorber (Front) - Right,1
299890,Hyundai_Elite i20_Lower Arm Rights,1
299890,Hyundai_Elite i20_Lower Arm Lefts,1
299894,Maruti Suzuki_Alto K10_Coolant,1
299894,Maruti Suzuki_Alto K10_Brake Fluid,1
299894,Maruti Suzuki_Alto K10_Oil Filter,1
299894,Maruti Suzuki_Alto K10_Air Filter,1
299894,Maruti Suzuki_Alto K10_Semi Synthetic,3.5
299894,Maruti Suzuki_Alto K10_Wiper Blade,1
299904,Toyota_Innova_Front Bumper Upper Grill,1
299904,Toyota_Innova_Bonnet Patti,2
299904,"Toyota_Innova_Reflector Assy, Rear Left",1
299904,"Toyota_Innova_Reflector Assy, Rear Right",1
299904,Toyota_Innova_Tail Lamp Left,1
299904,Toyota_Innova_Tail Lamp Right,1
299918,Tata_Nano_Coolant,1
299918,Tata_Nano_Brake Fluid,1
299918,Tata_Nano_Oil Filter,1
299918,Tata_Nano_Air Filter,1
299918,Tata_Nano_Semi Synthetic,3
299933,Hyundai_i10_Front Suspension Strut Left,1
299933,Hyundai_i10_Front Suspension Strut Right,1
299933,Hyundai_i10_Front Suspension Bush Kit,2
299933,Hyundai_i10_Front Suspension Strut Mount,2
299933,Hyundai_i10_Link Rod,2
299933,Hyundai_i10_Lower Arm,2
299933,Hyundai_i10_Ball Joint,2
299933,Hyundai_i10_Tie Rod End Set,1
299933,Hyundai_i10_Balance Rod Bush,2
299954,Maruti Suzuki_Swift_Clutch Cable,1
299954,Maruti Suzuki_Swift_Clutch Release Bearing,1
299954,Maruti Suzuki_Swift_Clutch Kit (Disc+Pressure Plate),1
299954,Maruti Suzuki_Swift_Bezel Front Fog Lamp Right,1
299955,Maruti Suzuki_Swift_Coolant,1
299955,Maruti Suzuki_Swift_Brake Fluid,1
299955,Maruti Suzuki_Swift_Oil Filter,1
299955,Maruti Suzuki_Swift_Air Filter,1
299955,Maruti Suzuki_Swift_Semi Synthetic,3.5
299956,Maruti Suzuki_Swift_Coolant,1
299956,Maruti Suzuki_Swift_Brake Fluid,1
299956,Maruti Suzuki_Swift_Oil Filter,1
299956,Maruti Suzuki_Swift_Air Filter,1
299956,Maruti Suzuki_Swift_Semi Synthetic,3.5
299998,Mercedes Benz_A-Class_Coolant,1
299998,Mercedes Benz_A-Class_Brake Fluid,1
299998,Mercedes Benz_A-Class_Fully Synthetic,4
299998,Mercedes Benz_A-Class_Oil Filter,1
299998,Mercedes Benz_A-Class_Air Filter,1
299998,Mercedes Benz_A-Class_Rear Brake Disc,1
299998,Mercedes Benz_A-Class_Rear Brake Pad,1
299998,Mercedes Benz_A-Class_Engine Oil Flush,1
299998,Mercedes Benz_A-Class_Oil Additive,1
299998,Mercedes Benz_A-Class_AC Filter,1
299998,Mercedes Benz_A-Class_Engine Oil - 5W40,4.5
300045,Tata_Indica Vista_Coolant,2
300045,Tata_Indica Vista_Brake Fluid,1
300045,Tata_Indica Vista_Oil Filter,1
300045,Tata_Indica Vista_Air Filter,1
300045,Tata_Indica Vista_Semi Synthetic,4.5
300070,Hyundai_Santro_Coolant,1
300070,Hyundai_Santro_Brake Fluid,1
300070,Hyundai_Santro_Oil Filter,1
300070,Hyundai_Santro_Air Filter,1
300070,Hyundai_Santro_Semi Synthetic,4
300094,Hyundai_Grand i10_Coolant,1
300094,Hyundai_Grand i10_Brake Fluid,1
300094,Hyundai_Grand i10_Oil Filter,1
300094,Hyundai_Grand i10_Air Filter,1
300094,Hyundai_Grand i10_Semi Synthetic,4
300095,Hyundai_Grand i10_Coolant,1
300095,Hyundai_Grand i10_Brake Fluid,1
300095,Hyundai_Grand i10_Oil Filter,1
300095,Hyundai_Grand i10_Air Filter,1
300095,Hyundai_Grand i10_Semi Synthetic,4
300096,Hyundai_Grand i10_Coolant,1
300096,Hyundai_Grand i10_Brake Fluid,1
