id,item_name,purchase_count
299776,Coolant,1
299776,Brake Fluid,1
299776,Semi Synthetic,1
299776,Oil Filter,1
299776,Air Filter,1
299780,Timing Belt,1
299780,Tensioner Adjuster,1
299780,"Guide, Timing Chain",1
299780,"Idler,Timing",1
299780,Alternator Belt,1
299780,Shock Absorber (Front),1
299780,Front Strut Bush Kit,1
299780,Front Brake pad,1
299791,Head Lamp - L/H,1
299791,Bumper - Front,1
299791,Front Wheel Arch Cladding Left,1
299791,Fender Liner - L/H Front,1
299801,"Hose, Fuel (Pipe To Filter)",1
299801,Radiator Inlet Hose,1
299801,Radiator Flush (354ML),1
299801,Distilled Water,1
299801,"Hose, Radiator Upper",1
299801,Coolant,1
299801,Consumables,1
299806,Bumper - Rear,1
299806,"Molding Assy, Bumper Lower",1
299806,Lock Set,1
299806,Lock,1
299823,Coolant,1
299823,Brake Fluid,1
299823,Oil Filter,1
299823,Air Filter,1
299823,Fully Synthetic,1
299890,Shock Absorber (Front) - Left,1
299890,Shock Absorber (Front) - Right,1
299890,Lower Arm Rights,1
299890,Lower Arm Lefts,1
299894,Coolant,1
299894,Brake Fluid,1
299894,Oil Filter,1
299894,Air Filter,1
299894,Semi Synthetic,1
299894,Wiper Blade,1
299904,Front Bumper Upper Grill,1
299904,Bonnet Patti,1
299904,"Reflector Assy, Rear Left",1
299904,"Reflector Assy, Rear Right",1
299904,Tail Lamp Left,1
299904,Tail Lamp Right,1
299918,Coolant,1
299918,Brake Fluid,1
299918,Oil Filter,1
299918,Air Filter,1
299918,Semi Synthetic,1
299933,Front Suspension Strut Left,1
299933,Front Suspension Strut Right,1
299933,Front Suspension Bush Kit,1
299933,Front Suspension Strut Mount,1
299933,Link Rod,1
299933,Lower Arm,1
299933,Ball Joint,1
299933,Tie Rod End Set,1
299933,Balance Rod Bush,1
299954,Clutch Cable,1
299954,Clutch Release Bearing,1
299954,Clutch Kit (Disc+Pressure Plate),1
299954,Bezel Front Fog Lamp Right,1
299955,Coolant,1
299955,Brake Fluid,1
299955,Oil Filter,1
299955,Air Filter,1
299955,Semi Synthetic,1
299956,Coolant,1
299956,Brake Fluid,1
299956,Oil Filter,1
299956,Air Filter,1
299956,Semi Synthetic,1
299971,Gear Oil,1
299971,"Cover Assy, Clutch",1
299971,Clutch Bearing,1
299971,Front Brake pad,1
299998,Coolant,1
299998,Brake Fluid,1
299998,Fully Synthetic,1
299998,Oil Filter,1
299998,Air Filter,1
299998,Rear Brake Disc,1
299998,Rear Brake Pad,1
299998,Engine Oil Flush,1
299998,Oil Additive,1
299998,AC Filter,1
299998,Engine Oil - 5W40,1
300045,Coolant,1
300045,Brake Fluid,1
300045,Oil Filter,1
300045,Air Filter,1
300045,Semi Synthetic,1
300070,Coolant,1
300070,Brake Fluid,1
300070,Oil Filter,1
300070,Air Filter,1
300070,Semi Synthetic,1
300094,Coolant,1
300094,Brake Fluid,1
300094,Oil Filter,1
300094,Air Filter,1
300094,Semi Synthetic,1
300095,Coolant,1
300095,Brake Fluid,1
300095,Oil Filter,1
300095,Air Filter,1
300095,Semi Synthetic,1
300096,Coolant,1
300096,Brake Fluid,1
300096,Oil Filter,1
300096,Air Filter,1
300096,Semi Synthetic,1
300110,Coolant,1
300110,Brake Fluid,1
300110,Oil Filter,1
300110,Air Filter,1
300110,Semi Synthetic,1
300157,Brake Pads,1
300157,Brake Discs,1
300157,Brake Fluid,1
300157,Brake Disc,1
300157,Coolant (Green),1
300157,Distilled Water,1
300157,Air Filter,1
300157,AC Filter,1
300402,Oil Filter,1
300402,Air Filter,1
300402,Rear Brake Pad,1
300402,Rear Brake Shoe,1
300453,Front Brake Disc,1
300453,Fender Liner - L/H Front,1
300453,Fender Liner - R/H Front,1
300453,Link Rod Set Of 2,1
300453,Stablizer Bar Bushes,1
300453,Shock Absorber (Front) - Left,1
300531,Coolant,1
300531,Brake Fluid,1
300531,Semi Synthetic,1
300531,Oil Filter,1
300531,Air Filter,1
300534,Head Lamp Set,1
300534,Shock Absorber Mount,1
300534,Shock Absorber (Rear),1
300534,Shock Absorber (Front),1
300534,Lower Arm,1
300534,Mirror Cap,1
300534,Fender Liner - L/H Front,1
300534,Fender Liner - R/H Front,1
300534,Link Rod,1
300534,Oil Filter,1
300534,Air Filter,1
300534,AC Filter,1
300534,Fuel Filter,1
300534,Spark Plug Set Of 4,1
300539,Shock Absorber (Front),1
300539,Shock Absorber Mount,1
300539,Shock Absorber Strut Kit,1
300539,Shock Absorber (Rear),1
300539,Inner Ball Joint,1
300539,Tie Rod,1
300539,Link Rod,1
300539,Rear Strut Bush,1
300539,Engine Mounting,1
300539,Balance Rod Bush,1
300539,Oil Filter,1
300539,Air Filter,1
300539,AC Filter,1
300539,Fuel Filter,1
300539,Spark Plug Set Of 4,1
300539,Rear Wiper Blade With Arm,1
300539,Rear Brake Shoe,1
300549,Bumper - Front,1
300549,Trim Front Lower Bumper,1
300549,Head Lamp - L/H,1
300549,Shock Absorber (Front) - Left,1
300549,Lower Arm Lefts,1
300549,Fender Liner - L/H Front,1
300549,Wheel Rim,1
300549,"Guard Assy, Front Fender Splash Left (Black)",1
300549,Wheel Cap,1
300549,Link Rod,1
300549,Tie Rod End Left,1
300571,Front Brake Disc,1
300571,Front Brake pad,1
300571,Shock Absorber (Rear),1
300571,"Seal, Diff Side Oil Right",1
300571,"Seal, Diff Side Oil Left",1
300596,Bumper - Front,1
300596,"Holder, Front Bumper Left",1
300596,"Holder, Front Bumper Right",1
300596,Front Bumper Upper Grill,1
300596,Fender Liner - R/H Front,1
300596,Head Lamp - R/H,1
300602,Balance Rod Bush,1
300602,Link Rod,1
300602,Upper Control Arm Bush,1
300602,Lower Control Arm Bush,1
300697,Bumper - Front,1
300697,Front Bumper Bracket Right,1
300697,Front Bumper Bracket Left,1
300697,"Bezel, Non Fog Lamp Left",1
300697,Bumper Lower Grill,1
300697,"Bezel, Non Fog Lamp Right",1
300697,Tie Member,1
300697,Fender Liner - L/H Front,1
300697,Fog Lamp Cover - Left,1
300697,"Panel Assy - Under Cover, Front",1
300697,AC Condenser,1
300697,Coolant Elbow,1
300697,Horn,1
300700,Bumper - Front,1
300700,Front Bumper Bracket Right,1
300700,Front Bumper Bracket Left,1
300700,Head Lamp - L/H,1
300700,Fog Lamp Cover - Left,1
300706,Coolant,1
300706,Brake Fluid,1
300706,Oil Filter,1
300706,Air Filter,1
300706,Semi Synthetic,1
300706,Brake Pad1,1
300706,AC Filter,1
300706,Spark Plug Set Of 4,1
300706,Engine Oil Flush,1
300706,Oil Additive,1
300719,Bumper - Front,1
300719,"Holder, Front Bumper Left",1
300719,"Holder, Front Bumper Right",1
300719,Mirror Assy Left,1
300729,Brake Adjuster Spring,1
300729,Fender Liner - L/H Front,1
300729,Fender Liner - R/H Front,1
300729,Air Filter,1
300729,Lower Arm Rights,1
300749,Bumper - Front,1
300749,Front Bumper Bracket Right,1
300749,Front Bumper Bracket Left,1
300749,Fender - L/H Front,1
300749,Fender Liner - R/H Front,1
300749,Dashboard,1
300755,Bumper - Front,1
300755,Front Bumper Bracket Right,1
300755,Front Bumper Bracket Left,1
300755,Fender - L/H Front,1
300755,Fender - R/H Front,1
300755,Front Wheel Arch Cladding Right,1
300755,Front Wheel Arch Cladding Left,1
300765,Bumper - Front,1
300765,Bumper Lower Grill,1
300765,Splash Guard Front Bumper,1
300765,Fender Liner - L/H Front,1
300765,"Bracket, Radiator Support Lower",1
300765,Front Fog Lamp Left,1
300765,AC Condenser,1
300765,Intercooler Hose,1
300765,Fender Liner Clip,1
300765,Air Filter,1
300777,Shock Absorber Mount,1
300777,Shock Absorber Strut Kit,1
300777,Link Rod,1
300777,Lower Arm Rights,1
300777,Lower Arm Lefts,1
300777,Front Wheel Bearing,1
300794,Semi Synthetic,1
300794,Air Filter,1
300794,Oil Filter,1
300794,Coolant,1
300794,Brake Fluid,1
300810,Coolant,1
300810,Brake Fluid,1
300810,Semi Synthetic,1
300810,Oil Filter,1
300810,Air Filter,1
300810,Mud Flap,1
300810,Engine Oil Flush,1
300810,Oil Additive,1
300810,Brake Pad,1
300810,AC Filter,1
300810,Coolant Elbow,1
300810,Wiper Blade,1
300812,Head Lamp - L/H,1
300812,Head Lamp - R/H,1
300812,Fender Liner - L/H Front,1
300812,Fender Liner - R/H Front,1
300812,Mirror Cap,1
300814,Bumper - Front,1
300814,Front Bumper Bracket Right,1
300814,Front Bumper Bracket Left,1
300814,Bezel Front Fog Lamp Left,1
300814,Spring,1
300816,Lower Arm,1
300816,Link Rod,1
300816,Front Strut Bush Kit,1
300816,Front Suspension Strut Mount,1
300816,Tie Rod End Set,1
300816,Ball Joint,1
300828,Front Brake pad,1
300828,Caliper Pin 18%,1
300828,Spark Plug Set Of 4,1
300828,Clutch Release Bearing,1
300828,Clutch Kit (Disc+Pressure Plate),1
300899,Clutch Kit (Disc+Pressure Plate+Bearing),1
300899,Front Suspension Strut Left,1
300899,Front Suspension Strut Right,1
300899,Front Strut Bush Kit,1
300899,Link Rod,1
300899,Front Suspension Strut Mount,1
300899,Lower Arm,1
300899,Tie Rod End Set,1
300899,Ball Joint,1
300899,Balance Rod Bush,1
300900,Ac Vent,1
300900,"Latch Assy - Front Door, Right",1
300900,Front Strut Bush Kit,1
300900,Front Suspension Strut Mount,1
300900,Front Suspension Strut Left/Right,1
300905,Bonnet,1
300905,Hinges (Bonnet) Right,1
300905,Hinges (Bonnet) Left,1
300905,Head Lamp - L/H,1
300905,Front Bumper Upper Grill,1
300905,Bonnet Latch,1
300912,Fuel Filter,1
300912,Speed Sensor,1
300912,Spark Plug Set Of 4,1
300912,Door Handle,1
300919,Lower Arm,1
300919,Dicky Emblems,1
300919,"Dicky Shocks, Right",1
300919,"Dicky Shocks, Left",1
300979,Coolant,1
300979,Brake Fluid,1
300979,Oil Filter,1
300979,Air Filter,1
300979,Semi Synthetic,1
300979,Spark Plug 16Mm,1
300979,Front Brake pad,1
300979,AC Filter,1
300979,Belt,1
300979,Wiper Blade,1
300979,Engine Oil Flush,1
300979,Oil Additive,1
301002,Head Lamp - L/H,1
301002,Bumper - Front,1
301002,Bumper Lower Grill,1
301002,Upper Grill Chrome Piece,1
301002,Front Bumper Upper Grill,1
301002,"Holder, Front Bumper Left",1
301002,"Holder, Front Bumper Right",1
301011,Bumper - Front,1
301011,Front Bumper Bracket Right,1
301011,Front Bumper Bracket Left,1
301011,Bonnet,1
